"cohort_month","month_number","jumlah_aktif","ukuran_cohort","retention_pct"
"2010-07-01",0,186,186,100.0
"2010-07-01",1,29,186,15.6
"2010-07-01",2,34,186,18.3
"2010-07-01",3,55,186,29.6
"2010-07-01",4,54,186,29.0
"2010-07-01",5,26,186,14.0
"2010-07-01",6,21,186,11.3
"2010-07-01",7,27,186,14.5
"2010-07-01",8,27,186,14.5
"2010-07-01",9,21,186,11.3
"2010-07-01",10,25,186,13.4
"2010-07-01",11,27,186,14.5
"2010-07-01",12,24,186,12.9
"2010-07-01",13,25,186,13.4
"2010-07-01",14,36,186,19.4
"2010-07-01",15,32,186,17.2
"2010-07-01",16,44,186,23.7
"2010-07-01",17,15,186,8.1
"2010-08-01",0,162,162,100.0
"2010-08-01",1,33,162,20.4
"2010-08-01",2,48,162,29.6
"2010-08-01",3,51,162,31.5
"2010-08-01",4,27,162,16.7
"2010-08-01",5,19,162,11.7
"2010-08-01",6,15,162,9.3
"2010-08-01",7,19,162,11.7
"2010-08-01",8,21,162,13.0
"2010-08-01",9,20,162,12.3
"2010-08-01",10,20,162,12.3
"2010-08-01",11,20,162,12.3
"2010-08-01",12,24,162,14.8
"2010-08-01",13,29,162,17.9
"2010-08-01",14,29,162,17.9
"2010-08-01",15,32,162,19.8
"2010-08-01",16,10,162,6.2
"2010-09-01",0,243,243,100.0
"2010-09-01",1,54,243,22.2
"2010-09-01",2,57,243,23.5
"2010-09-01",3,30,243,12.3
"2010-09-01",4,22,243,9.1
"2010-09-01",5,25,243,10.3
"2010-09-01",6,33,243,13.6
"2010-09-01",7,24,243,9.9
"2010-09-01",8,31,243,12.8
"2010-09-01",9,31,243,12.8
"2010-09-01",10,28,243,11.5
"2010-09-01",11,23,243,9.5
"2010-09-01",12,52,243,21.4
"2010-09-01",13,39,243,16.0
"2010-09-01",14,38,243,15.6
"2010-09-01",15,13,243,5.3
"2010-10-01",0,378,378,100.0
"2010-10-01",1,97,378,25.7
"2010-10-01",2,55,378,14.6
"2010-10-01",3,46,378,12.2
"2010-10-01",4,33,378,8.7
"2010-10-01",5,31,378,8.2
"2010-10-01",6,50,378,13.2
"2010-10-01",7,52,378,13.8
"2010-10-01",8,40,378,10.6
"2010-10-01",9,35,378,9.3
"2010-10-01",10,40,378,10.6
"2010-10-01",11,48,378,12.7
"2010-10-01",12,72,378,19.0
"2010-10-01",13,87,378,23.0
"2010-10-01",14,26,378,6.9
"2010-11-01",0,326,326,100.0
"2010-11-01",1,58,326,17.8
"2010-11-01",2,29,326,8.9
"2010-11-01",3,32,326,9.8
"2010-11-01",4,26,326,8.0
"2010-11-01",5,28,326,8.6
"2010-11-01",6,43,326,13.2
"2010-11-01",7,33,326,10.1
"2010-11-01",8,28,326,8.6
"2010-11-01",9,30,326,9.2
"2010-11-01",10,36,326,11.0
"2010-11-01",11,46,326,14.1
"2010-11-01",12,82,326,25.2
"2010-11-01",13,21,326,6.4
"2010-12-01",0,77,77,100.0
"2010-12-01",1,7,77,9.1
"2010-12-01",2,4,77,5.2
"2010-12-01",3,8,77,10.4
"2010-12-01",4,9,77,11.7
"2010-12-01",5,5,77,6.5
"2010-12-01",6,4,77,5.2
"2010-12-01",7,7,77,9.1
"2010-12-01",8,4,77,5.2
"2010-12-01",9,2,77,2.6
"2010-12-01",10,8,77,10.4
"2010-12-01",11,15,77,19.5
"2010-12-01",12,2,77,2.6
"2011-01-01",0,73,73,100.0
"2011-01-01",1,12,73,16.4
"2011-01-01",2,15,73,20.5
"2011-01-01",3,15,73,20.5
"2011-01-01",4,15,73,20.5
"2011-01-01",5,11,73,15.1
"2011-01-01",6,11,73,15.1
"2011-01-01",7,9,73,12.3
"2011-01-01",8,8,73,11.0
"2011-01-01",9,16,73,21.9
"2011-01-01",10,18,73,24.7
"2011-01-01",11,8,73,11.0
"2011-02-01",0,125,125,100.0
"2011-02-01",1,20,125,16.0
"2011-02-01",2,20,125,16.0
"2011-02-01",3,23,125,18.4
"2011-02-01",4,27,125,21.6
"2011-02-01",5,20,125,16.0
"2011-02-01",6,20,125,16.0
"2011-02-01",7,19,125,15.2
"2011-02-01",8,19,125,15.2
"2011-02-01",9,23,125,18.4
"2011-02-01",10,8,125,6.4
"2011-03-01",0,179,179,100.0
"2011-03-01",1,33,179,18.4
"2011-03-01",2,39,179,21.8
"2011-03-01",3,36,179,20.1
"2011-03-01",4,40,179,22.3
"2011-03-01",5,27,179,15.1
"2011-03-01",6,37,179,20.7
"2011-03-01",7,36,179,20.1
"2011-03-01",8,43,179,24.0
"2011-03-01",9,17,179,9.5
"2011-04-01",0,107,107,100.0
"2011-04-01",1,27,107,25.2
"2011-04-01",2,21,107,19.6
"2011-04-01",3,21,107,19.6
"2011-04-01",4,19,107,17.8
"2011-04-01",5,25,107,23.4
"2011-04-01",6,19,107,17.8
"2011-04-01",7,27,107,25.2
"2011-04-01",8,12,107,11.2
"2011-05-01",0,111,111,100.0
"2011-05-01",1,26,111,23.4
"2011-05-01",2,27,111,24.3
"2011-05-01",3,18,111,16.2
"2011-05-01",4,24,111,21.6
"2011-05-01",5,22,111,19.8
"2011-05-01",6,29,111,26.1
"2011-05-01",7,13,111,11.7
"2011-06-01",0,110,110,100.0
"2011-06-01",1,26,110,23.6
"2011-06-01",2,25,110,22.7
"2011-06-01",3,31,110,28.2
"2011-06-01",4,22,110,20.0
"2011-06-01",5,32,110,29.1
"2011-06-01",6,9,110,8.2
"2011-07-01",0,102,102,100.0
"2011-07-01",1,21,102,20.6
"2011-07-01",2,30,102,29.4
"2011-07-01",3,28,102,27.5
"2011-07-01",4,35,102,34.3
"2011-07-01",5,16,102,15.7
"2011-08-01",0,106,106,100.0
"2011-08-01",1,28,106,26.4
"2011-08-01",2,32,106,30.2
"2011-08-01",3,28,106,26.4
"2011-08-01",4,18,106,17.0
"2011-09-01",0,190,190,100.0
"2011-09-01",1,52,190,27.4
"2011-09-01",2,71,190,37.4
"2011-09-01",3,28,190,14.7
"2011-10-01",0,222,222,100.0
"2011-10-01",1,70,222,31.5
"2011-10-01",2,35,222,15.8
"2011-11-01",0,192,192,100.0
"2011-11-01",1,27,192,14.1
"2011-12-01",0,28,28,100.0
